version;0.3;;;
3CX CRM Template Generator;2.1.23;CVE-2022-27438;Caphyon Ltd Advanced Installer 19.3 and earlier and many products that use the updater...;https://nvd.nist.gov/vuln/detail/CVE-2022-27438
3CX Call Flow Designer;18.2.13;CVE-2022-27438;Caphyon Ltd Advanced Installer 19.3 and earlier and many products that use the updater...;https://nvd.nist.gov/vuln/detail/CVE-2022-27438
3CX Live Chat;8.0.15;CVE-2018-18460;XSS exists in the wp-live-chat-support v8.0.15 plugin for WordPress via the modules/gdp...;https://nvd.nist.gov/vuln/detail/CVE-2018-18460
3CX Live Chat;< 4.1.0;CVE-2014-10386;The wp-live-chat-support plugin before 4.1.0 for WordPress has JavaScript injections.;https://nvd.nist.gov/vuln/detail/CVE-2014-10386
3CX Live Chat;< 6.2.02;CVE-2016-10879;The wp-live-chat-support plugin before 6.2.02 for WordPress has XSS.;https://nvd.nist.gov/vuln/detail/CVE-2016-10879
3CX Live Chat;< 7.1.03;CVE-2017-18508;The wp-live-chat-support plugin before 7.1.03 for WordPress has XSS.;https://nvd.nist.gov/vuln/detail/CVE-2017-18508
3CX Live Chat;< 7.1.05;CVE-2017-18507;The wp-live-chat-support plugin before 7.1.05 for WordPress has XSS.;https://nvd.nist.gov/vuln/detail/CVE-2017-18507
3CX Live Chat;< 8.0.06;CVE-2018-9864;The WP Live Chat Support plugin before 8.0.06 for WordPress has stored XSS via the Name...;https://nvd.nist.gov/vuln/detail/CVE-2018-9864
3CX Live Chat;< 8.0.07;CVE-2018-12426;The WP Live Chat Support Pro plugin before 8.0.07 for WordPress is vulnerable to unauth...;https://nvd.nist.gov/vuln/detail/CVE-2018-12426
3CX Live Chat;< 8.0.08;CVE-2018-11105;There is stored cross site scripting in the wp-live-chat-support plugin before 8.0.08 f...;https://nvd.nist.gov/vuln/detail/CVE-2018-11105
3CX Live Chat;< 8.0.18;CVE-2019-9913;The wp-live-chat-support plugin before 8.0.18 for WordPress has wp-admin/admin.php?page...;https://nvd.nist.gov/vuln/detail/CVE-2019-9913
3CX Live Chat;< 8.0.26;CVE-2019-11185;The WP Live Chat Support Pro plugin through 8.0.26 for WordPress contains an arbitrary...;https://nvd.nist.gov/vuln/detail/CVE-2019-11185
3CX Live Chat;< 8.0.27;CVE-2019-14950;The wp-live-chat-support plugin before 8.0.27 for WordPress has XSS via the GDPR page.;https://nvd.nist.gov/vuln/detail/CVE-2019-14950
3CX Live Chat;< 8.0.33;CVE-2019-12498;The WP Live Chat Support plugin before 8.0.33 for WordPress accepts certain REST API ca...;https://nvd.nist.gov/vuln/detail/CVE-2019-12498
3CX Live Chat;<= 7.0.06;CVE-2017-2187;Cross-site scripting vulnerability in WP Live Chat Support prior to version 7.0.07 allo...;https://nvd.nist.gov/vuln/detail/CVE-2017-2187
3CX System;16.0.0.1570;CVE-2019-9971;PhoneSystem Terminal in 3CX Phone System (Debian based installation) 16.0.0.1570 allows...;https://nvd.nist.gov/vuln/detail/CVE-2019-9971
3CX System;16.0.0.1570;CVE-2019-9972;PhoneSystem Terminal in 3CX Phone System (Debian based installation) 16.0.0.1570 allows...;https://nvd.nist.gov/vuln/detail/CVE-2019-9972
3CX WEB Server;15.5.8801.3;CVE-2018-14905;The Web server in 3CX version 15.5.8801.3 is vulnerable to Reflected XSS on the api/Cal...;https://nvd.nist.gov/vuln/detail/CVE-2018-14905
3CX WEB Server;15.5.8801.3;CVE-2018-14906;The Web server in 3CX version 15.5.8801.3 is vulnerable to Reflected XSS on all stack t...;https://nvd.nist.gov/vuln/detail/CVE-2018-14906
3CX WEB Server;15.5.8801.3;CVE-2018-14907;The Web server in 3CX version 15.5.8801.3 is vulnerable to Information Leakage, because...;https://nvd.nist.gov/vuln/detail/CVE-2018-14907
